account_id,partition_ledger_year_month,amount_usd
550385,201907,0
550406,201907,0
661926,201907,0
693819,201907,0
751280,201907,0
777808,201907,0
777809,201907,0
777818,201907,0
784028,201907,0
784031,201907,0
1107813,201907,0
1107814,201907,0
1107815,201907,0
1107816,201907,0
1107817,201907,0
1107818,201907,0
1107819,201907,0
1107820,201907,0
1107835,201907,0
1107836,201907,0
1107839,201907,0
1107840,201907,0
1107842,201907,0
1107978,201907,0
1107980,201907,0
1107981,201907,0
1107982,201907,0
1107984,201907,0
1108147,201907,0
1108148,201907,0
1108149,201907,0
1108150,201907,0
1108151,201907,0
1108152,201907,0
1108153,201907,0
1108154,201907,0
1108155,201907,0
1108281,201907,0
1108282,201907,0
1108283,201907,0
1108285,201907,0
1108286,201907,0
1108287,201907,0
1108288,201907,0
1108304,201907,0
1108316,201907,0
1108337,201907,0
1108341,201907,0
1109811,201907,0
1230626,201907,0
1264959,201907,0
1264962,201907,0
1265158,201907,0
1265159,201907,0
1265160,201907,0
1265161,201907,0
1265327,201907,0
1265328,201907,0
1266785,201907,0
1266972,201907,0
1266973,201907,0
1267036,201907,0
1267038,201907,0
1267101,201907,0
1267227,201907,0
1267290,201907,0
1267416,201907,0
1267417,201907,0
1267418,201907,0
1267482,201907,0
1267483,201907,0
1267505,201907,0
1269978,201907,0
1269979,201907,0
1269980,201907,0
1269981,201907,0
1287102,201907,0
1287104,201907,0
1287176,201907,0
1287178,201907,0
1289971,201907,0
1289972,201907,0
1297424,201907,0
1297425,201907,0
1433285,201907,0
1452317,201907,0
1495511,201907,0
1495512,201907,0
1495519,201907,0
1570210,201907,0
1631941,201907,0
1631947,201907,0
1631948,201907,0
1631956,201907,0
1739731,201907,0
1740437,201907,0
1834354,201907,0
1835832,201907,0
2059087,201907,0
2059313,201907,0
2290381,201907,0
2350376,201907,0
2484705,201907,0
2484706,201907,0
2586961,201907,0
2586962,201907,0
2586963,201907,0
2586964,201907,0
2586965,201907,0
2586966,201907,0
2729759,201907,0
2729763,201907,0
2729765,201907,0
2729766,201907,0
2729767,201907,0
2821164,201907,0
2837702,201907,0
2968165,201907,0
2968174,201907,0
2968183,201907,0
2968192,201907,0
3102197,201907,0
3169156,201907,0
3169157,201907,0
3169158,201907,0
3274874,201907,0
3283940,201907,0
3291608,201907,0
3301816,201907,0